求职网站,公司名称,岗位名,需求数量,职责,能力要求,薪资待遇
智联招聘,南京钟山资产经营管理集团有限公司,基金投资总监-人工智能方向,100-299人,岗位职责：1. 负责人工智能产业母基金募投管退全流程2. 负责优质项目挖掘、尽调估值、交易谈判、交割落地，把控投资风控3. 负责投后赋能、资源对接、退出路径规划4. 搭建产业/投行/政府资源生态，带队深耕人工智能产业赛道，沉淀优质项目库能力要求：1.5年以上私募股权投资基金领域经验;具备主导过大型股权项目投资、资本运作或私募基金管理的操作经验，有过通过首次公开发行股票并上市、股权并购或者股权转让等方式退出的成功案例;具有完整的基金组建、资金募集、基金投资、基金退出的实际全流程操盘经验;2.熟悉基金投资监管政策和行业自律规则;对人工智能产业有深入理解和专业的认识;具有丰富的优质项目资源，良好的优质项目搜寻、策划和资源整合能力;熟悉资本市场主要出资人(国有投资平台/险资/政府引导基金/产业投资台)的要求和出资能力，沟通协调能力强，能够独立完成投资项目全流程业务;3.具有中国证券投资基金从业资格;具备中国证券投资基金业协会规定的担任投资管理高级管理人员职务的资格条件;无法律法规禁止担任公司高管的情形;4.持有特许金融分析师(CFA)、法律职业资格A证、中国注册会计师(CPA)、国际注册会计师(ACCA)等资格证书的优先,,1.5-3万·15薪
智联招聘,重庆泳辰科技有限公司,人工智能实习,20-99人,岗位职责： 1.参与公司AI Agent/Flow项目的开发与实施，协助完成客户场景的搭建，包括但不限于智能问答、信息抽取、内容审核、自动写作等任务； 2.在高级工程师指导下，完成数据清洗、模型微调、效果评测及基础模块开发； 3.协助优化现有AI流程，提升任务执行的准确性和效率； 4.配合客户现场需求，参与项目交付，出差支持客户部署、调试及培训（出差频率视项目需求）； 5.配合团队完成技术文档编写、测试及客户需求对接；,： 1.学历专业 ： 计算机、软件工程、人工智能等相关专业本科及以上学历； 2.技术能力 ： ∙熟悉Python，了解基础数据结构与算法； ∙接触过NLP基础任务（如文本分类、实体识别、文本生成等），有相关课程或项目经验； ∙了解至少一种深度学习框架（PyTorch/TensorFlow）； ∙对Agent/Flow架构或大模型应用（如LLaMA/GPT）有基础认知者优先,5000-7000元
智联招聘,深圳市南电云商有限公司,人工智能数据实施,500-999人,1.协助开展人工智能本地化服务支持工作，对数据收集、数据清洗、数据分类、数据标注、数据质检、人工智能平台组件上架、监控、维护等方面开展技术支撑工作。2.完成客户单位交办的项目相关工作，熟练使用Word、Excel、PPT等办公软件，需要较强的项目沟通能力,,5000-7000元
智联招聘,福州高新区才拓科技有限公司,人工智能工程师/接受无经验,100-299人,一、岗位职责  协助工程师收集、整理人工智能相关数据，参与数据标注与预处理工作；  辅助搭建简单的 AI 模型测试环境，配合完成模型训练与验证的基础操作；  记录工作过程中的数据与问题，整理成报告并同步给团队；  学习 AI 领域相关技术知识，配合团队完成技术文档的初步撰写。  二、,学历：大专及以上学历，计算机、电子信息、数学等相关专业优先，非相关专业亦可；  经验：接受无 AI 相关工作经验，对人工智能领域感兴趣，公司提供系统岗前培训；  能力：具备基本的电脑操作能力，有学习意愿，逻辑思维清晰，能配合团队完成工作。  三、福利待遇  薪资：符合人工智能行业助理岗当前水平，具体面议；  保障：缴纳五险一金，全面保障员工权益；  时间：朝九晚六工作制，无加班，平衡工作与个人生活。,7000-8000元
智联招聘,百川智能,人工智能研发工程师（可入北京五险一金）,1000-9999人,1. 岗位职责：1) 负责人工智能、机器学习、图像处理相关项目的策划与应用算法实现；  2) 负责公司机器学习算法的研究与实施，包括模型设计与训练；  3) 研究人工智能在工程机械方面的应用；  4) 为公司其他项目组提供数据分析及机器学习方面的支持。  2.,：  1) 本科及以上学历，计算机、人工智能、自动化等相关专业；  2) 熟练掌握C/C++、python、Java、matlab、opencv等编程语言与工具(两项及以上）；  3) 从事过深度学习视觉方面的研究或具有深度学习视觉项目相关经验；  4) 掌握人工智能常用算法（包括数据挖掘、机器学习、深度学习等），能根据场景需求将实际问题转化为具体的算法模型 ；  5) 具备强烈的责任感，事业心，优秀的沟通能力，具有团队协作精神；  6) 服从管理， 能够完成上级安排的其它相关工作。  3. 岗位薪资：  1) 应届本科毕业生：6000-12000；  2) 应届硕士研究生：7500-15000；  3) 社招面议。  涨薪及福利：年度工资涨级、年终奖、五险一金、包吃包住、带薪年假、节日福利、加班补助、周末双休、带家属员工旅游、享受5年高新区人才补贴政策等。,6000-12000元
智联招聘,金慧科技,人工智能训练,10000人以上,职位详情亮点：上市公司，缴纳五险一金，带薪培训 岗位职责：  审核图片/文字/视频等；并进行标注  无销售性质和任务要求，带薪培训，业务简单易上手       岗位福利：   1、上五休二，八小时工作制，有午休   2、购买五险一金：养老保险，医疗保险，失业保险，工伤保险，生育保险，住房公积金   3、地铁直达，上班更便利         有意向者欢迎投递～,,4000-6000元
智联招聘,国机数字科技有限公司,项目交付经理（人工智能应用方向）,300-499人,岗位职责:1.负责人工智能应用项目全周期管理，涵盖AI平台建设、解决方案集成等，从需求调研、方案设计到验收交付，确保项目按时按质按预算完成；2.作为技术与业务桥梁，理解AI技术（机器学习、深度学习、自然语言处理等）及系统、数据集成方案，与客户、技术团队、供应商沟通，把控技术方案可行性与可扩展性；3.协助AI项目集成，协调硬件、软件等多维度资源，解决系统兼容性、数据接口对接等技术难题，实现AI应用与业务系统或设备无缝集成；4.组建管理项目团队，明确分工，提升团队交付能力，协同销售、售前等团队推动项目落地，沉淀经验优化管理流程；5.维护客户关系，深入了解AI应用需求与痛点，引导客户预期，及时处理变更请求与问题反馈，提升客户满意度。 任职资格:1.具备人工智能技术知识，了解主流AI算法、模型（如大模型、机器学习模型）原理与应用场景。2.至少3年AI项目或科技项目集成交付经验，独立主导过至少2个AI应用项目（如AI视觉检测、智能质检等）全周期交付，具备处理多系统数据打通、异构系统对接等复杂集成问题的成功案例。3.掌握项目管理方法论（如PMP、敏捷开发），具备项目规划、成本控制、风险管理、质量管理等核心能力，能熟练使用J项目管理工具。4.具备优秀的沟通协调能力，能清晰传递技术方案与项目需求，妥善处理多方协作矛盾与问题，抗压能力强，情绪稳定。5.了解AI在制造业的应用趋势与场景，具备行业解决方案设计经验者优先。,,面议
智联招聘,外企德科数字技术有限公司,长沙 - 软件开发/软件测试开发/AI开发/大模型开发/图像算法/人工智能,10000人以上,📍 工作地点（任选）：北京 | 上海 | 深圳 | 杭州 | 成都 | 南京 | 西安 | 武汉 | 苏州 | 东莞🎯 急招岗位：· 软件开发工程师（前后端/通用）· 软件测试工程师（功能/自动化/性能）· 算法工程师（AI/图像/大模型）1. 软件开发工程师· 岗位职责：· 负责产品后端/前端架构设计、核心代码编写与优化。· 参与需求分析，完成模块的设计、开发、自测及文档编写。· 解决产品开发过程中的技术难题，持续提升系统性能与稳定性。·,：· 本科及以上学历，扎实的编程基础，精通Java/C++/Python/Go至少一种语言。· 熟悉Linux环境，掌握常用数据结构与算法。· 有大型项目开发经验、熟悉微服务架构者优先。2. 软件测试工程师· 岗位职责：· 负责产品全流程测试，包括功能测试、自动化测试、性能测试。· 参与自动化测试框架、工具的设计与开发，提升测试效率。· 跟踪并分析线上问题，推动质量闭环，持续改进产品质量。·,1.5-3万·14薪
智联招聘,金慧科技,人工智能训练（无试岗+不销售）订单处理,10000人以上,上市公司，企业直招，大厂心动offer～工作氛围超级好   【工作内容】视频/文字/图片；进行审核标注下架；简单易上手   【工作时间】8小时工作制度，双休，不加班~   【薪资福利】带薪年假；茶水间，小甜点；综合3-5K左右   【,】本科及以上学历，学信网可查 【内部晋升】 公司提供管理和专业的双通道晋升渠道（三个月一次竞选）；晋升超级快,4000-5000元
智联招聘,贵州汇通华城股份有限公司,软件开发工程师（人工智能）,100-299人,职责描述：1. 负责公司核心控制算法的研究和开发；2. 参与项目、产品的需求及可行性研究，理解项目的业务和功能需求；3. 根据业务和功能需求，完成软件功能和数据库的设计；4. 根据业务和功能研发计划，完成软件功能的开发和测试工作；5. 负责编写与产品关联的开发、使用文档；6. 有强烈的责任心和服务意识，积极配合其他岗位及部门的工作开展。,：1. 本科及以上学历；2. 计算机科学与技术、软件工程、人工智能、数学、统计学、信息管理与信息系统、自动化控制、运筹学、物理学等相关专业；3. 2年以上机器学习算法应用开发经验，至少1个项目实践经验；4. 有工业控制、工业软件方向人工智能应用经验者优先；5. 精通Python语言，熟悉C++语言者优先；6. 熟练掌握NumPy、Pandas、Scikit-learn等数据处理和机器学习建模方法；7. 熟悉掌握PostgreSQL、SQLServer数据库的开发和应用；8. 熟悉时序数据及其扩展数据的分析、建模和处理方法；9. 熟悉操作系统原理，擅长问题跟踪和分析方法；10. 具备良好的学习能力，思维敏捷，善于沟通和团队协作；11. 具有较强逻辑思维能力和表达能力，有良好的技术文档习惯；12. 具备良好的职业道德和工作态度，能够独立分析问题和解决问题。,9000-15000元
智联招聘,外企德科数字技术有限公司,杭州 - 软件开发/软件测试开发/AI开发/大模型开发/图像算法/人工智能,10000人以上,📍 工作地点（任选）：北京 | 上海 | 深圳 | 杭州 | 成都 | 南京 | 西安 | 武汉 | 苏州 | 东莞🎯 急招岗位：· 软件开发工程师（前后端/通用）· 软件测试工程师（功能/自动化/性能）· 算法工程师（AI/图像/大模型）1. 软件开发工程师· 岗位职责：· 负责产品后端/前端架构设计、核心代码编写与优化。· 参与需求分析，完成模块的设计、开发、自测及文档编写。· 解决产品开发过程中的技术难题，持续提升系统性能与稳定性。·,：· 本科及以上学历，扎实的编程基础，精通Java/C++/Python/Go至少一种语言。· 熟悉Linux环境，掌握常用数据结构与算法。· 有大型项目开发经验、熟悉微服务架构者优先。2. 软件测试工程师· 岗位职责：· 负责产品全流程测试，包括功能测试、自动化测试、性能测试。· 参与自动化测试框架、工具的设计与开发，提升测试效率。· 跟踪并分析线上问题，推动质量闭环，持续改进产品质量。·,1.5-3万·14薪
智联招聘,北京前景无忧电子科技股份有限公司,人工智能项目经理,100-299人,1、工作经验在2-5年以内，岗位为项目经理/产品经理，有人工智能项目经验，掌握一定人工智能相关技术，对新技术有持续学习，具备电力行业或项目工作经验优先；2、学历在本科以上，专业与人工智能、计算机、大数据分析等工科专业相关。3、具备良好沟通能力和项目汇报经验，熟练编写项目汇报文档和PPT等材料。4、需要两周内到岗。,,1.5-1.8万
智联招聘,上海翼多翼得健康科技有限公司,python后端开发工程师（人工智能方向）,300-499人,【岗位职责】：1、协助算法研发岗的同事完成相关模型的工程化部署，完成核心算法与业务应用层之间的代码集成；2、根据项目实际环境中的软硬件条件（国产化），完成项目交付所需的模型转换、部署、调优及运维工作；3、配合算法岗同事完成研发环境部署、模型训练及调优工作；4、参与LLM及LMM领域中相关技术趋势及论文成果的调研、测试、验证工作【,】：1、拥有计算机、人工智能、机器学习等相关专业本科及以上学历，至少三年工作经验；2、熟练掌握Python语言开发，熟悉PyTorch开发框架和Transformers库，至少一年相关项目经验；3、熟练掌握Linux操作系统，熟悉Docker、Conda环境的部署和维护；4、对CV、NLP、多模态领域的技术应用非常熟悉，具备实际项目经验；5、接触过国产芯片、国产操作系统上的AI项目研发工作,1.5-3万
智联招聘,外企德科数字技术有限公司,上海 - 软件开发/软件测试开发/AI开发/大模型开发/图像算法/人工智能,10000人以上,📍 工作地点（任选）：北京 | 上海 | 深圳 | 杭州 | 成都 | 南京 | 西安 | 武汉 | 苏州 | 东莞🎯 急招岗位：· 软件开发工程师（前后端/通用）· 软件测试工程师（功能/自动化/性能）· 算法工程师（AI/图像/大模型）1. 软件开发工程师· 岗位职责：· 负责产品后端/前端架构设计、核心代码编写与优化。· 参与需求分析，完成模块的设计、开发、自测及文档编写。· 解决产品开发过程中的技术难题，持续提升系统性能与稳定性。·,：· 本科及以上学历，扎实的编程基础，精通Java/C++/Python/Go至少一种语言。· 熟悉Linux环境，掌握常用数据结构与算法。· 有大型项目开发经验、熟悉微服务架构者优先。2. 软件测试工程师· 岗位职责：· 负责产品全流程测试，包括功能测试、自动化测试、性能测试。· 参与自动化测试框架、工具的设计与开发，提升测试效率。· 跟踪并分析线上问题，推动质量闭环，持续改进产品质量。·,1.5-3万·14薪
智联招聘,北京赛迪时代信息产业股份有限公司,人工智能咨询规划师,500-999人,学历要求：信息化、经济管理、工程类本科以上岗位职责：1、 深入洞察政企、工业等行业业务场景，精准把握行业痛点与需求，融合先进 AI 技术，设计符合行业特性的解决方案；2、 支持销售与客户沟通，撰写行业解决方案PPT、项目建议书、差异化竞争优势、行业标杆案例等售前资料；3、 持续关注行业动态，深入调研行业产品，精准提炼产品差异点与潜在市场机会；4、 有丰富的人工智能应用、智算中心等咨询规划项目执行经验，至少在1个大型项目中承担核心设计工作，熟悉企事业单位的项目决策流程规范和运作方式;5、 解读国家、行业和地方关于人工智能政策文件，充分识别和挖掘政策方向相关的信息化建设需求，形成有价值的信息化策划方案，实现由政策到需求的有效转化；6、最好有企业相关智算中心、平台人工智能算法等技术组件研究、技术方案选型及关键技术攻关相关经验。,：1、 本科以上学历，计算机、数学、人工智能等专业优先；2、 具有人工智能知识体系，了解最新的人工智能技术；3、 熟悉主流大语言模型、时序模型、视频模型、语音模型、数字人等技术原理；4、 熟悉主流Agent平台，能够基于开源Agent平台搭建智能体；5、 具有数据中台、业务中台、智能中台咨询经验优先；6、 出色的演讲能力、跨团队协作能力与业务咨询能力；7、 具有较强的沟通能力、逻辑清晰，能适应多任务节奏，能适应出差；8、 性格开朗，适应变化，有好奇心和学习能力。9、有公文及政府材料编写经验；10、拥有信息化工程技术类高级职称、高级经济师，国家认可的注册咨询工程师(投资)、一级建造师、一级造价师等执业资格证书优先考虑。,1.5-2.5万
